time,emotion,score
0.0,neutral,0.62
0.04,neutral,0.58
0.08,neutral,0.46
0.12,neutral,0.74
0.16,neutral,0.63
0.2,neutral,0.69
0.24,neutral,0.52
0.28,neutral,0.57
0.32,neutral,0.66
0.36,neutral,0.9
0.4,neutral,0.87
0.44,neutral,0.71
0.48,neutral,0.83
0.52,neutral,0.62
0.56,neutral,0.76
0.6,neutral,0.7
0.64,neutral,0.84
0.68,neutral,0.65
0.72,surprise,0.83
0.76,surprise,0.71
0.8,surprise,0.67
0.84,surprise,0.75
0.88,surprise,0.84
0.92,surprise,0.96
0.96,surprise,0.94
1.0,sad,0.38
1.04,sad,0.43
1.08,fear,0.52
1.12,sad,0.38
1.16,surprise,0.47
1.2,surprise,0.34
1.24,fear,0.39
1.28,sad,0.38
1.32,surprise,0.6
1.36,surprise,0.32
1.4,surprise,0.4
1.44,surprise,0.35
1.48,surprise,0.43
1.52,fear,0.48
1.56,fear,0.51
1.6,fear,0.53
1.64,surprise,0.48
1.68,surprise,0.49
1.72,fear,0.54
1.76,neutral,0.37
1.8,fear,0.69
1.84,fear,0.48
1.88,fear,0.53
1.92,fear,0.49
1.96,surprise,0.43
2.0,surprise,0.47
2.04,surprise,0.49
2.08,fear,0.47
2.12,fear,0.47
2.16,surprise,0.49
2.2,fear,0.53
2.24,surprise,0.61
2.28,fear,0.45
2.32,fear,0.56
2.36,surprise,0.62
2.4,surprise,0.52
2.44,fear,0.38
2.48,surprise,0.39
2.52,surprise,0.49
2.56,surprise,0.46
2.6,fear,0.37
2.64,fear,0.43
2.68,surprise,0.3
2.72,surprise,0.28
2.76,sad,0.32
2.8,sad,0.28
2.84,sad,0.34
2.88,angry,0.26
2.92,fear,0.34
2.96,fear,0.48
3.0,fear,0.45
3.04,angry,0.42
3.08,angry,0.55
3.12,angry,0.61
3.16,angry,0.52
3.2,angry,0.45
3.24,angry,0.56
3.28,angry,0.57
3.32,angry,0.51
3.36,angry,0.56
3.4,angry,0.52
3.44,angry,0.52
3.48,fear,0.53
3.52,fear,0.59
3.56,angry,0.51
3.6,angry,0.55
3.64,angry,0.55
3.68,fear,0.52
3.72,fear,0.48
3.76,angry,0.52
3.8,angry,0.67
3.84,angry,0.63
